Christopher Cross,Christopher Cross
Queen,Freddie Mercury
Queen,Brian May
Queen,John Deacon
Queen,Roger Taylor
Metallica,James Hetfield
Metallica,Kirk Hammet
Metallica,Robert Trujillo
Metallica,Lars Ulrich
Madonna,Madonna
Weird Al Yankovic,Weird Al Yankovic
Kansas,Steve Walsh
Kansas,Kerry Livgren
Kansas,Robby Steinhardt
Kansas,Rich Williams
Kansas,Phil Ehart
The Buggles,Trevor Horn
The Buggles,Geoff Downes
The Buggles,Hans Zimmer
